outlet_code,outlet_name,slug,city,region,address,postal_code,phone,email,status,timezone,manager_name,manager_phone,manager_email,latitude,longitude,google_maps_url,location_status,location_source,confidence,provider,formatted_address,prep_minutes,notes,telegram_enabled,whatsapp_enabled,mon_fri_open,mon_fri_close,saturday_open,saturday_close,sunday_open,sunday_close
TGR-01,Selalu Teh - 1 Danau Murung,selalu-teh-danau-murung,Tenggarong,Kalimantan Timur,"Jl. Danau Murung No.01, Melayu, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75512",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4190820571,116.9822999,https://maps.app.goo.gl/kMZ6SkTizdSyRTGH7,VERIFIED,manual,high,manual,"Jl. Danau Murung No.01, Melayu, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75512",18,,TRUE,TRUE,9:00,23:00,9:00,0:00,9:00,23:00
TGR-02,Selalu Teh - 2 Sudirman,selalu-teh-sudirman,Tenggarong,Kalimantan Timur,"Jl. Jend. Sudirman No.3-30, Melayu, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4162922571,116.9909419,https://maps.app.goo.gl/rBRRioz8nn9iBgk2A,VERIFIED,manual,high,manual,"Jl. Jend. Sudirman No.3-30, Melayu, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513",18,,TRUE,TRUE,10:00,0:00,10:00,1:00,10:00,0:00
TGR-03,Selalu Teh - 3 Sukarame,selalu-teh-sukarame,Tenggarong,Kalimantan Timur,"Jl. AM. Sangaji, Sukarame, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4033160997,116.9894575,https://maps.app.goo.gl/6sFheftUv7UKFWa66,VERIFIED,manual,high,manual,"Jl. AM. Sangaji, Sukarame, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513",18,,TRUE,TRUE,11:00,1:00,11:00,2:00,11:00,1:00
TGR-04,Selalu Teh - 5 Teluk Dalam,selalu-teh-teluk-dalam,Tenggarong,Kalimantan Timur,"Jl. Tlk. Dalam, Kec. Tenggarong Seberang, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4391553938,117.0064376,https://maps.app.goo.gl/JFX5kPn2kc5FgmpY7,VERIFIED,manual,high,manual,"Jl. Tlk. Dalam, Kec. Tenggarong Seberang, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513",18,,TRUE,TRUE,12:00,2:00,12:00,3:00,12:00,2:00
SMR-01,Selalu Teh - 7 S Parman,selalu-teh-s-parman,Samarinda,Kalimantan Timur,"Jl. S. Parman No.45, Bandara, Kec. Sungai Pinang, Kota Samarinda, Kalimantan Timur 75242",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4767157949,117.1512654,https://maps.app.goo.gl/CR35mFQ5WzjHBwxq9,VERIFIED,manual,high,manual,"Jl. S. Parman No.45, Bandara, Kec. Sungai Pinang, Kota Samarinda, Kalimantan Timur 75242",18,,TRUE,TRUE,13:00,3:00,13:00,4:00,13:00,3:00
KTB-01,Selalu Teh - 8 Kota Bangun Ulu,selalu-teh-kota-bangun-ulu,Kota Bangun,Kalimantan Timur,"Jl.Bangun Ulu City, Kotabangun, Kutai Kartanegara Regency, East Kalimantan 75561",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.2718464613,116.6022416,https://maps.app.goo.gl/sDra2cPR2C7Mpy3z6,VERIFIED,manual,high,manual,"Jl.Bangun Ulu City, Kotabangun, Kutai Kartanegara Regency, East Kalimantan 75561",18,,TRUE,TRUE,14:00,4:00,14:00,5:00,14:00,4:00
SMR-02,Selalu Teh - 14 M Said,selalu-teh-m-said,Samarinda,Kalimantan Timur,"Jl. Moh. Said, Lok Bahu, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75243",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4932813092,117.1125265,https://maps.app.goo.gl/tTG3D9qVuiC2wACr7,VERIFIED,manual,high,manual,"Jl. Moh. Said, Lok Bahu, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75243",18,,TRUE,TRUE,15:00,5:00,15:00,6:00,15:00,5:00
SMR-03,Selalu Teh - 15 KS Tubun,selalu-teh-ks-tubun,Samarinda,Kalimantan Timur,"Jl. KS Tubun Dalam, Dadi Mulya, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4896363522,117.1399517,https://maps.app.goo.gl/7TdNqc22EE8TLFXp9,VERIFIED,manual,high,manual,"Jl. KS Tubun Dalam, Dadi Mulya, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243",18,,TRUE,TRUE,16:00,6:00,16:00,7:00,16:00,6:00
SMR-04,Selalu Teh - 19 Loa Janan 3,selalu-teh-loa-janan-3,Samarinda,Kalimantan Timur,"Jl. Soekarno Hatta, Tani Aman, Kec. Loa Janan, Kota Samarinda, Kalimantan Timur 75251",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.584311442,117.0972228,https://maps.app.goo.gl/2Uhzkq9dKWHQZ2326,VERIFIED,manual,high,manual,"Jl. Soekarno Hatta, Tani Aman, Kec. Loa Janan, Kota Samarinda, Kalimantan Timur 75251",18,,TRUE,TRUE,17:00,7:00,17:00,8:00,17:00,7:00
TGR-05,Selalu Teh - 20 Ki Hajar Dewantara,selalu-teh-ki-hajar-dewantara,Tenggarong,Kalimantan Timur,"Jl. KH Dewantara, Panji, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4114393003,116.9857224,https://maps.app.goo.gl/ETaNT5BATWPXef6J6,VERIFIED,manual,high,manual,"Jl. KH Dewantara, Panji, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513",18,,TRUE,TRUE,18:00,8:00,18:00,9:00,18:00,8:00
